2022-05-20,UST-USD
Time,Price,UnixTime
00:28:38.427133Z,0.07464,1653006518.427133
00:28:52.361202Z,0.07464,1653006532.361202
00:28:57.782238Z,0.07464,1653006537.782238
00:29:02.903045Z,0.07479,1653006542.903045
00:29:07.324317Z,0.07532,1653006547.324317
00:29:19.577331Z,0.07525,1653006559.577331
00:29:25.573226Z,0.07465,1653006565.573226
00:29:53.422837Z,0.0747,1653006593.422837
00:30:03.147669Z,0.07461,1653006603.147669
00:30:19.493201Z,0.07462,1653006619.493201
00:30:38.593135Z,0.07461,1653006638.593135
00:30:44.450363Z,0.07461,1653006644.450363
00:30:48.792488Z,0.07477,1653006648.792488
00:31:11.441997Z,0.07461,1653006671.441997
00:31:44.001588Z,0.07468,1653006704.001588
00:32:03.181394Z,0.07473,1653006723.181394
00:32:11.246396Z,0.07461,1653006731.246396
00:32:14.612137Z,0.07461,1653006734.612137
00:32:23.509940Z,0.07466,1653006743.50994
00:32:48.624068Z,0.07449,1653006768.624068
00:32:53.514022Z,0.07448,1653006773.514022
00:32:59.485308Z,0.07449,1653006779.485308
00:33:10.516889Z,0.07464,1653006790.516889
00:33:15.444871Z,0.0744,1653006795.444871
00:33:18.824705Z,0.0744,1653006798.824705
00:33:25.753488Z,0.07463,1653006805.753488
00:33:47.444124Z,0.07463,1653006827.444124
00:33:48.079372Z,0.07463,1653006828.079372
00:34:26.623740Z,0.07459,1653006866.62374
00:34:32.332869Z,0.07466,1653006872.332869
00:34:38.363841Z,0.07466,1653006878.363841
00:34:46.086534Z,0.07466,1653006886.086534
00:35:07.051285Z,0.0747,1653006907.051285
00:35:17.708105Z,0.07479,1653006917.708105
00:35:20.570315Z,0.07446,1653006920.570315
00:35:33.652773Z,0.07478,1653006933.652773
00:35:35.668705Z,0.07448,1653006935.668705
00:35:40.263744Z,0.07448,1653006940.263744
00:35:57.470577Z,0.07479,1653006957.470577
00:36:08.394339Z,0.07446,1653006968.394339
00:36:16.823048Z,0.07446,1653006976.823048
00:36:23.320225Z,0.07451,1653006983.320225
00:36:34.887714Z,0.07478,1653006994.887714
00:36:45.119262Z,0.07461,1653007005.119262
00:36:50.036104Z,0.07452,1653007010.036104
00:36:58.947851Z,0.07479,1653007018.947851
00:37:06.325403Z,0.07472,1653007026.325403
00:37:17.231991Z,0.07452,1653007037.231991
00:37:30.669613Z,0.07477,1653007050.669613
00:37:53.864722Z,0.07456,1653007073.864722
00:38:03.582855Z,0.07455,1653007083.582855
00:38:23.835667Z,0.07471,1653007103.835667
00:38:39.274577Z,0.0747,1653007119.274577
00:38:45.532090Z,0.0747,1653007125.53209
00:39:08.992511Z,0.07452,1653007148.992511
00:39:16.083309Z,0.07467,1653007156.083309
00:39:40.390653Z,0.07468,1653007180.390653
00:39:57.423085Z,0.0747,1653007197.423085
00:40:01.323611Z,0.07462,1653007201.323611
00:40:05.873801Z,0.07479,1653007205.873801
00:40:23.074479Z,0.07478,1653007223.074479
00:40:28.331323Z,0.07479,1653007228.331323
00:40:57.500543Z,0.07479,1653007257.500543
00:41:25.641849Z,0.07479,1653007285.641849
00:41:31.490978Z,0.07479,1653007291.490978
00:41:59.294264Z,0.07479,1653007319.294264
00:42:09.117342Z,0.07465,1653007329.117342
00:42:14.475073Z,0.07479,1653007334.475073
00:42:19.976072Z,0.07465,1653007339.976072
00:42:27.093054Z,0.07479,1653007347.093054
00:42:42.022006Z,0.0748,1653007362.022006
00:42:56.149414Z,0.07536,1653007376.149414
00:43:05.220513Z,0.07486,1653007385.220513
00:43:07.939021Z,0.07483,1653007387.939021
00:43:12.443287Z,0.07534,1653007392.443287
00:43:15.738841Z,0.07481,1653007395.738841
00:44:09.672751Z,0.07482,1653007449.672751
00:44:20.255532Z,0.07537,1653007460.255532
00:44:23.849447Z,0.07537,1653007463.849447
00:44:42.714183Z,0.07547,1653007482.714183
00:44:48.235582Z,0.07522,1653007488.235582
00:45:14.223083Z,0.07522,1653007514.223083
00:45:22.868756Z,0.0752,1653007522.868756
00:45:29.607120Z,0.0752,1653007529.60712
00:45:35.398161Z,0.07529,1653007535.398161
00:45:42.182264Z,0.07547,1653007542.182264
00:46:41.710498Z,0.07514,1653007601.710498
00:46:47.716843Z,0.07537,1653007607.716843
00:46:53.860676Z,0.07511,1653007613.860676
00:47:17.229891Z,0.07511,1653007637.229891
00:47:26.771839Z,0.07533,1653007646.771839
00:47:31.510392Z,0.07513,1653007651.510392
00:48:10.681451Z,0.07515,1653007690.681451
00:48:22.257990Z,0.0753,1653007702.25799
00:48:27.747419Z,0.07515,1653007707.747419
00:48:32.626001Z,0.07515,1653007712.626001
00:48:36.958019Z,0.0753,1653007716.958019
00:48:43.171594Z,0.0753,1653007723.171594
00:48:57.044589Z,0.07522,1653007737.044589
00:49:52.178538Z,0.07549,1653007792.178538
00:50:13.476822Z,0.07579,1653007813.476822
00:50:23.047191Z,0.07579,1653007823.047191
00:50:51.740487Z,0.0758,1653007851.740487
00:51:01.877711Z,0.07579,1653007861.877711
00:51:12.882604Z,0.0758,1653007872.882604
00:51:24.639709Z,0.07579,1653007884.639709
00:51:43.989059Z,0.0758,1653007903.989059
00:51:50.939021Z,0.07546,1653007910.939021
00:51:56.923234Z,0.07546,1653007916.923234
00:52:16.907861Z,0.07564,1653007936.907861
00:52:25.714979Z,0.07578,1653007945.714979
00:52:32.012630Z,0.07567,1653007952.01263
00:53:01.992773Z,0.07563,1653007981.992773
00:53:14.050747Z,0.07563,1653007994.050747
00:53:38.673757Z,0.07566,1653008018.673757
00:53:57.343749Z,0.07562,1653008037.343749
00:54:04.561689Z,0.07562,1653008044.561689
00:54:13.016549Z,0.07549,1653008053.016549
00:54:15.159894Z,0.07546,1653008055.159894
00:54:34.312105Z,0.07565,1653008074.312105
00:54:42.490073Z,0.07565,1653008082.490073
00:54:47.162164Z,0.07565,1653008087.162164
00:55:10.066114Z,0.07565,1653008110.066114
00:55:28.468390Z,0.07546,1653008128.46839
00:56:11.559664Z,0.07546,1653008171.559664
00:56:20.125200Z,0.07546,1653008180.1252
00:56:23.378465Z,0.07546,1653008183.378465
00:56:35.997529Z,0.07546,1653008195.997529
00:56:36.580110Z,0.0754,1653008196.58011
00:56:43.822527Z,0.0756,1653008203.822527
00:56:51.068460Z,0.07546,1653008211.06846
00:56:56.177413Z,0.07534,1653008216.177413
00:57:12.047796Z,0.07537,1653008232.047796
00:57:26.795705Z,0.07539,1653008246.795705
00:57:27.933880Z,0.07518,1653008247.93388
00:57:57.284747Z,0.07539,1653008277.284747
00:58:07.560723Z,0.0754,1653008287.560723
00:58:08.578672Z,0.0754,1653008288.578672
00:58:19.726941Z,0.0754,1653008299.726941
00:58:27.724385Z,0.0754,1653008307.724385
00:58:36.537250Z,0.07521,1653008316.53725
