2022-05-21,BTC-USD
Time,Price,UnixTime
00:17:57.004333Z,29245.27,1653092277.004333
00:18:00.973507Z,29245,1653092280.973507
00:18:04.734240Z,29244.08,1653092284.73424
00:18:11.994806Z,29244.09,1653092291.994806
00:18:16.164262Z,29244.57,1653092296.164262
00:18:22.068987Z,29244.57,1653092302.068987
00:18:26.722138Z,29244.57,1653092306.722138
00:18:31.483537Z,29244.57,1653092311.483537
00:18:37.306877Z,29244.51,1653092317.306877
00:18:42.468904Z,29244.08,1653092322.468904
00:18:46.618482Z,29244.09,1653092326.618482
00:18:52.751946Z,29237.71,1653092332.751946
00:18:57.656950Z,29232.71,1653092337.65695
00:19:01.419734Z,29225.14,1653092341.419734
00:19:07.035001Z,29226.83,1653092347.035001
00:19:12.716725Z,29226.78,1653092352.716725
00:19:17.631522Z,29219.71,1653092357.631522
00:19:22.299278Z,29222.54,1653092362.299278
00:19:26.636631Z,29223.27,1653092366.636631
00:19:32.337135Z,29219.71,1653092372.337135
00:19:37.878787Z,29222.29,1653092377.878787
00:19:42.128369Z,29236.65,1653092382.128369
00:19:47.757574Z,29225.65,1653092387.757574
00:19:52.871231Z,29231,1653092392.871231
00:19:56.798440Z,29233.84,1653092396.79844
00:20:02.725793Z,29232.44,1653092402.725793
00:20:07.659613Z,29230.79,1653092407.659613
00:20:11.982919Z,29232.75,1653092411.982919
00:20:18.031728Z,29226.95,1653092418.031728
00:20:21.824747Z,29223.72,1653092421.824747
00:20:27.181271Z,29215.03,1653092427.181271
00:20:31.849594Z,29220.25,1653092431.849594
00:20:36.896555Z,29220.29,1653092436.896555
00:20:43.521853Z,29225.07,1653092443.521853
00:20:46.999769Z,29226.33,1653092446.999769
00:20:52.362139Z,29225.98,1653092452.362139
00:20:56.318748Z,29225.23,1653092456.318748
00:21:02.998954Z,29225.27,1653092462.998954
00:21:06.855352Z,29224.3,1653092466.855352
00:21:11.861530Z,29228.86,1653092471.86153
00:21:18.255215Z,29229.76,1653092478.255215
00:21:22.420104Z,29229.71,1653092482.420104
00:21:28.626066Z,29229.76,1653092488.626066
00:21:33.087752Z,29229.76,1653092493.087752
00:21:38.897811Z,29229.73,1653092498.897811
00:21:43.129462Z,29229.76,1653092503.129462
00:21:49.081871Z,29229.99,1653092509.081871
00:21:53.256924Z,29222.39,1653092513.256924
00:21:57.110153Z,29235.74,1653092517.110153
00:22:04.066412Z,29260.49,1653092524.066412
00:22:07.192564Z,29252.39,1653092527.192564
00:22:11.808519Z,29250.89,1653092531.808519
00:22:18.316775Z,29250.89,1653092538.316775
00:22:23.509178Z,29245.35,1653092543.509178
00:22:27.828522Z,29245.84,1653092547.828522
00:22:33.556479Z,29241.49,1653092553.556479
00:22:37.937218Z,29235.2,1653092557.937218
00:22:42.738509Z,29239.74,1653092562.738509
00:22:48.046364Z,29239.67,1653092568.046364
00:22:54.402843Z,29240.53,1653092574.402843
00:22:57.710590Z,29244.81,1653092577.71059
00:23:03.340725Z,29236.23,1653092583.340725
00:23:09.419936Z,29236.64,1653092589.419936
00:23:13.088005Z,29240.13,1653092593.088005
00:23:19.015401Z,29230.25,1653092599.015401
00:23:22.966708Z,29223.21,1653092602.966708
00:23:28.863511Z,29228.45,1653092608.863511
00:23:33.470826Z,29228.7,1653092613.470826
00:23:38.033520Z,29227.27,1653092618.03352
00:23:42.846410Z,29230.08,1653092622.84641
00:23:49.150989Z,29220.41,1653092629.150989
00:23:52.873273Z,29222.66,1653092632.873273
00:24:00.011214Z,29229.47,1653092640.011214
00:24:02.718301Z,29230.23,1653092642.718301
00:24:07.975053Z,29229.95,1653092647.975053
