2022-05-20,ETH-USD
Time,Price,UnixTime
00:20:49.206150Z,2005.93,1653006049.20615
00:20:54.414326Z,2006.78,1653006054.414326
00:20:59.421061Z,2006.67,1653006059.421061
00:21:05.162490Z,2006.98,1653006065.16249
00:21:09.852055Z,2007.26,1653006069.852055
00:21:15.251504Z,2006.76,1653006075.251504
00:21:19.516353Z,2006.02,1653006079.516353
00:21:25.090261Z,2004.89,1653006085.090261
00:21:29.875927Z,2004.5,1653006089.875927
00:21:35.103571Z,2006.01,1653006095.103571
00:21:39.621955Z,2005.67,1653006099.621955
00:21:43.438055Z,2005.98,1653006103.438055
00:21:49.494930Z,2005.92,1653006109.49493
00:21:53.882320Z,2005.31,1653006113.88232
00:21:59.450531Z,2005.05,1653006119.450531
00:22:04.160842Z,2004.47,1653006124.160842
00:22:09.088934Z,2004.63,1653006129.088934
00:22:13.772938Z,2004.11,1653006133.772938
00:22:19.320556Z,2005.05,1653006139.320556
00:22:24.435992Z,2005.04,1653006144.435992
00:22:29.679957Z,2004.76,1653006149.679957
00:22:35.581050Z,2005.4,1653006155.58105
00:22:37.786620Z,2004.83,1653006157.78662
00:22:45.453852Z,2004.8,1653006165.453852
00:22:50.925308Z,2004.76,1653006170.925308
00:22:55.776178Z,2004.8,1653006175.776178
00:23:00.913643Z,2004.67,1653006180.913643
00:23:04.394481Z,2004.44,1653006184.394481
00:23:11.061317Z,2004.96,1653006191.061317
00:23:14.886157Z,2005.01,1653006194.886157
00:23:20.729725Z,2004.99,1653006200.729725
00:23:24.305636Z,2005.15,1653006204.305636
00:23:29.715021Z,2005.2,1653006209.715021
00:23:32.550921Z,2005.32,1653006212.550921
00:23:40.755475Z,2005.88,1653006220.755475
00:23:43.209282Z,2005.64,1653006223.209282
00:23:50.158501Z,2005.99,1653006230.158501
00:23:54.281257Z,2006,1653006234.281257
00:24:00.437106Z,2006,1653006240.437106
00:24:04.333844Z,2005.98,1653006244.333844
00:24:10.839950Z,2005.15,1653006250.83995
00:24:13.734314Z,2005.4,1653006253.734314
00:24:20.577746Z,2005.5,1653006260.577746
00:24:23.479177Z,2005.55,1653006263.479177
00:24:30.891806Z,2006.48,1653006270.891806
00:24:36.654010Z,2005.32,1653006276.65401
00:24:40.757926Z,2006.09,1653006280.757926
00:24:45.989424Z,2007.17,1653006285.989424
00:24:50.516001Z,2007.21,1653006290.516001
00:24:55.806941Z,2006.87,1653006295.806941
00:25:00.081893Z,2006.65,1653006300.081893
00:25:06.292907Z,2006.49,1653006306.292907
00:25:10.705802Z,2006.67,1653006310.705802
00:25:16.046457Z,2007.21,1653006316.046457
00:25:19.627555Z,2007.21,1653006319.627555
00:25:26.007914Z,2007.2,1653006326.007914
00:25:31.586162Z,2007.08,1653006331.586162
00:25:35.429621Z,2007.2,1653006335.429621
00:25:41.869921Z,2007.87,1653006341.869921
00:25:45.966059Z,2008.05,1653006345.966059
00:25:52.252766Z,2007.86,1653006352.252766
00:25:56.781047Z,2008.53,1653006356.781047
00:26:01.765824Z,2008.61,1653006361.765824
00:26:07.743564Z,2008.65,1653006367.743564
00:26:12.155614Z,2009.24,1653006372.155614
00:26:17.718919Z,2008.39,1653006377.718919
00:26:22.388466Z,2008.52,1653006382.388466
00:26:26.771190Z,2008.5,1653006386.77119
00:26:32.665179Z,2008.49,1653006392.665179
00:26:38.023804Z,2008.49,1653006398.023804
00:26:40.485818Z,2008.4,1653006400.485818
00:26:47.894293Z,2008.38,1653006407.894293
00:26:52.543221Z,2008.12,1653006412.543221
00:26:57.811735Z,2007.77,1653006417.811735
00:27:01.927391Z,2007.34,1653006421.927391
00:27:07.164491Z,2007.3,1653006427.164491
00:27:11.514952Z,2006.74,1653006431.514952
00:27:15.870232Z,2006.92,1653006435.870232
00:27:21.482251Z,2006.86,1653006441.482251
00:27:27.491433Z,2006.34,1653006447.491433
00:27:31.565371Z,2005.9,1653006451.565371
00:27:36.825590Z,2005.88,1653006456.82559
00:27:41.922035Z,2006,1653006461.922035
00:27:47.706849Z,2005.91,1653006467.706849
00:27:50.956328Z,2005.86,1653006470.956328
00:27:54.812047Z,2005.86,1653006474.812047
00:28:01.647278Z,2005.9,1653006481.647278
00:28:07.934346Z,2005.75,1653006487.934346
00:28:11.631994Z,2005.74,1653006491.631994
00:28:17.489678Z,2005.11,1653006497.489678
00:28:20.999974Z,2005.2,1653006500.999974
00:28:27.754975Z,2005.27,1653006507.754975
00:28:31.282806Z,2005.12,1653006511.282806
00:28:37.846985Z,2004.94,1653006517.846985
00:28:43.367069Z,2006.46,1653006523.367069
00:28:47.770883Z,2006.62,1653006527.770883
00:28:53.234485Z,2007.01,1653006533.234485
00:28:57.710505Z,2007.12,1653006537.710505
00:29:03.615382Z,2006.62,1653006543.615382
00:29:09.007463Z,2006.21,1653006549.007463
00:29:13.664150Z,2006.92,1653006553.66415
00:29:19.148275Z,2006.04,1653006559.148275
00:29:22.861262Z,2006.04,1653006562.861262
00:29:28.666549Z,2005.79,1653006568.666549
00:29:32.718396Z,2006.13,1653006572.718396
00:29:37.735608Z,2005.71,1653006577.735608
00:29:44.359713Z,2005.38,1653006584.359713
00:29:48.872946Z,2004.81,1653006588.872946
00:29:54.377074Z,2005.01,1653006594.377074
00:29:59.060069Z,2004.45,1653006599.060069
